slug,name,category,province,seo_title,seo_description,channel_description,embed_type,embed_source,fallback_url,featured
cana-tv-digital,Cana TV Digital,regional,Veron,"Cana TV Digital en Vivo | TV de Veron, RD - DR TV","Ve Cana TV Digital en vivo, la señal de Veron en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Cana TV Digital es la señal local de Veron, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Veron —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://stream.hostuis.com:19360/canatvdigital/canatvdigital.m3u8,https://canatvdigital.com/,false
buena-tv,Buena TV,national-news,,Buena TV en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira Buena TV en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Buena TV es uno de los canales de referencia en Santo Domingo Este, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",hls,https://edge.essastream.com/buenatv/index.m3u8,https://dominicanchannels.com/buena-tv/,false
carivision,CariVisión,national-news,,CariVisión en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira CariVisión en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","CariVisión es uno de los canales de referencia en Santo Domingo, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/channel/UCGo5FjcYI5fZszhfBUfcCgQ,http://carivision.online/,false
cdn-canal-37,CDN Canal 37,national-news,,CDN Canal 37 en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira CDN Canal 37 en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","CDN Canal 37 es uno de los canales de referencia en República Dominicana, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/channel/UCpFfLf9o4wJr-yr7dG8gYug,https://cdn.com.do/,false
canal-del-sol,Canal del Sol,entertainment,,Canal del Sol en Vivo Online | TV Dominicana Gratis - DR TV,"Disfruta Canal del Sol en vivo online, entretenimiento dominicano gratis. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Canal del Sol transmite entretenimiento, variedades y programación familiar en vivo desde Santo Domingo /. Una señal pensada para acompañarte todo el día, disponible en DR TV sin necesidad de buscar en otro sitio.",hls,https://stream.canaldelsol.com/sol26/master.m3u8,https://canaldelsol.com/,false
bonao-tv-canal-12,Bonao TV Canal 12,regional,Bonao Monseñor Nouel,Bonao TV Canal 12 en Vivo | DR TV,"Ve Bonao TV Canal 12 en vivo, la señal de Bonao Monseñor Nouel en República Dominicana. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Bonao TV Canal 12 es la señal local de Bonao Monseñor Nouel, llevando noticias, comunidad y programación regional a la pantalla. Para quienes son de Bonao Monseñor Nouel —dentro o fuera del país— DR TV te conecta con tu canal en vivo, directo desde casa.",hls,https://tele-stream.telecasa.net/live/st2/bonaotv-hd/index.m3u8,https://www.bonaotv.com,false
boreal-television,Boreal Televisión,entertainment,,Boreal Televisión en Vivo Online | TV Dominicana Gratis - DR TV,"Disfruta Boreal Televisión en vivo online, entretenimiento dominicano gratis. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Boreal Televisión transmite entretenimiento, variedades y programación familiar en vivo desde Production company. Una señal pensada para acompañarte todo el día, disponible en DR TV sin necesidad de buscar en otro sitio.",youtube,youtube.com/c/BOREALTELEVISI,https://borealtelevision.com/,false
acento-tv,Acento TV,national-news,,Acento TV en Vivo Online | Noticias y TV Dominicana - DR TV,"Mira Acento TV en vivo online gratis, 24 horas al día. Transmisión en vivo, sin cortes, directo desde República Dominicana.","Acento TV es uno de los canales de referencia en /current affairs, con programación de noticias, opinión y actualidad dominicana. En DR TV puedes seguir su transmisión en vivo directamente, sin salir de la página, ya sea que estés en la isla o formes parte de la diáspora dominicana en el exterior.",youtube,youtube.com/channel/UCxkjxuQjnsIBWErZ1tmQa3A,https://acentotv.acento.com.do/,false
cdn-deportes,CDN Deportes,sports,,CDN Deportes en Vivo | Deportes República Dominicana - DR TV,"Sigue CDN Deportes en vivo y no te pierdas el deporte dominicano. Transmisión en vivo, sin cortes, directo desde República Dominicana.","CDN Deportes lleva el deporte dominicano en vivo: béisbol invernal, boxeo y la actualidad deportiva del país, transmitido desde CDN sister channel. Sigue cada juego y cada jugada en tiempo real, directamente en DR TV.",youtube,youtube.com/channel/UCDVgwGy7AbR9me7MJHpJ0zA,https://cdndeportes.com.do/,false
de-ultimo-minuto-tv,De Último Minuto TV,entertainment,,De Último Minuto TV en Vivo Online | TV Dominicana Gratis - DR TV,"Disfruta De Último Minuto TV en vivo online, entretenimiento dominicano gratis. Transmisión en vivo, sin cortes, directo desde República Dominicana.","De Último Minuto TV transmite entretenimiento, variedades y programación familiar en vivo desde Alofoke Media Group. Una señal pensada para acompañarte todo el día, disponible en DR TV sin necesidad de buscar en otro sitio.",youtube,youtube.com/channel/UCyqn5zX5zoiD9VEKd6UvZrA,https://deultimominuto.net/de-ultimo-minuto-television/,false
